Rank (PTS),Image URL,ESPN URL,Name,College,Position,GP,MIN,PTS,FGM,FGA,FGPct,3PM,3PA,3PPct,FTM,FTA,FTPct,REB,AST,STL,BLK,TO
230,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2057.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4683944/tyler-lundblade,Tyler Lundblade,BEL,G,29,34.4,15.8,4.7,10.8,43.3,3.5,8.7,40.3,2.9,3.1,93.4,2.7,1.7,0.3,0,0.9
231,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/201.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4576062/nijel-pack,Nijel Pack,OU,G,27,30,15.7,5.7,12.3,45.9,3.2,7.2,44.1,1.2,1.4,89.2,3.4,3,0.6,0.3,1.7
231,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5239838/matas-vokietaitis,Matas Vokietaitis,TEX,C,27,25.3,15.7,5,7.7,64.4,0,0,0,5.8,8.3,70.1,6.9,0.5,0.2,0.9,2.1
231,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2507.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5311991/stefan-vaaks,Stefan Vaaks,PROV,G,27,31.3,15.7,4.9,12.2,40,2.8,8.3,33.6,3.2,3.8,84.3,2.4,3.2,0.9,0.3,1.9
234,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/52.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4685802/robert-mccray-v,Robert McCray V,FSU,G,27,28.3,15.7,5.6,12.3,45.6,1.3,3.9,33.7,3.1,4.4,71.4,3.8,5.9,1.1,0.5,3.7
235,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2492.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4895742/aaron-clark,Aaron Clark,PEPP,G,29,32.5,15.7,5.3,12.2,43.4,2,5.2,38.7,3.1,4,77.4,3.4,2.7,1.3,0.1,2.7
235,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2363.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5177116/jaden-winston,Jaden Winston,MAN,G,29,35.2,15.7,5.2,11,47.5,1.4,3.8,37.6,3.9,4.8,81.2,3,3.8,2.5,0,2.2
237,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2603.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5142608/jaiden-glover-toscano,Jaiden Glover-Toscano,JOES,G,25,30.8,15.7,5.2,12.6,41.5,2.6,7.6,34.6,2.6,3.5,73.6,4.7,1.1,0.8,0.4,1.7
238,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/30.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5106051/ezra-ausar,Ezra Ausar,USC,F,27,29.5,15.7,5.1,8.6,59.7,0,0,0,5.4,8.2,66.5,6.4,1.8,1,0.4,2.2
238,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/3084.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5176632/jackson-holcombe,Jackson Holcombe,UVU,G,27,29.1,15.7,6,11,54.2,0.2,1.1,16.7,3.6,5.3,66.7,7.3,3.7,2.4,1.3,2.4
240,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/27.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5174613/marqui-worthy-jr,Marqui Worthy Jr.,UCR,G,29,34.6,15.7,4.9,11.4,43.3,1.4,4.5,32.3,4.3,5.9,74.1,4.7,2.9,1.2,0.3,3.4
241,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2908.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5241748/karmani-gregory,Karmani Gregory,UPST,G,29,30.4,15.6,5.3,13,41,1.9,5.9,32.4,3,4,75.9,2.2,2.9,1,0.1,2.2
242,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/300.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4711267/jurian-dixon,Jurian Dixon,UCI,G,28,29.8,15.6,5.6,13.1,42.4,2.1,5.4,39.3,2.4,3,78.6,3.4,2.3,1.1,0,1.4
243,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2815.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4873146/jadis-jones,Jadis Jones,LIN,G,24,32.6,15.6,6,9.8,60.6,0,0.3,0,3.7,5.7,64.2,8.3,2.6,1.5,1,1.8
244,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2029.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5174317/jaquan-scott,Jaquan Scott,UAPB,F,27,27.8,15.6,5.3,11.2,47.2,0.5,1.5,34.1,4.4,5.2,85.7,6.9,1.1,0.9,0.6,2.4
244,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2184.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5240353/jimmie-williams,Jimmie Williams,DUQ,G,27,28.6,15.6,5.5,11.7,47.2,2,5.5,36.9,2.5,3.3,76.1,4.7,2.6,1.6,0.1,1.7
246,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/155.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5241648/greyson-uelmen,Greyson Uelmen,UND,G,31,27.5,15.5,5,10.4,47.8,1.1,3.3,32.4,4.5,5.5,82,2.8,2.5,1.2,0.1,2.5
247,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2330.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5176713/shilo-jackson,Shilo Jackson,LEM,F,24,30.5,15.5,5.8,9.1,63.5,0,0.1,50,3.9,5.5,71.8,8.1,2.2,0.5,1.6,2.3
248,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2514.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5107321/amarri-monroe,Amarri Monroe,QUIN,F,28,33.4,15.5,5.7,13.8,41.6,1.2,4.4,27,2.9,3.8,76.6,8.3,2.3,2.4,0.9,2.6
249,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2352.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5242964/braeden-speed,Braeden Speed,L-MD,G,29,32.6,15.5,4.9,10.9,44.6,1.7,4.7,35.6,4.1,5,83.3,4.6,3.6,1,0.3,2.1
250,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5312258/jalen-haralson,Jalen Haralson,ND,F,24,26.6,15.5,5.7,11.2,50.9,0.2,1,20.8,3.9,6,64.1,3.7,2.6,0.5,0.3,2.9
251,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2426.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105698/aidan-kehoe,Aidan Kehoe,NAVY,C,29,33.4,15.5,6.6,9,73.8,0,0,0,2.2,4.7,47.4,10.8,2.1,1.2,1.2,1.9
252,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/201.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5174633/xzayvier-brown,Xzayvier Brown,OU,G,27,31.7,15.5,5.4,11.7,46.2,1.7,5,34.8,2.9,3.2,90.8,3,3,1.3,0.2,1.8
253,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/325.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5239604/dayan-nessah,Dayan Nessah,CLE,F,26,27.4,15.5,5,9.1,55.3,0.3,0.9,33.3,5.1,6.8,75,6.4,2.5,1,0.6,2.7
254,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/236.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5314472/jordan-frison,Jordan Frison,UTC,G,29,29.4,15.4,5.6,10.4,53.8,1.5,3.4,44.4,2.7,3.2,84.8,3.4,3.9,0.8,0.1,1.8
254,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2083.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5314477/amon-dorries,Amon Dörries,BUCK,C,29,31.6,15.4,5.7,10.8,52.9,0.8,2.4,32.4,3.2,4.1,78.2,4.4,1.4,0.8,0.4,2.6
256,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/242.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5243364/nick-anderson,Nick Anderson,RICE,G,27,28.7,15.4,4.8,11.1,43.5,2.7,6.6,40.7,3.1,3.7,84.2,4.2,1.1,1.2,0.4,1.1
257,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2405.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5174288/jason-rivera-torres,Jason Rivera-Torres,MONM,F,28,35.3,15.4,5,12.9,38.7,1.4,4.8,29.3,4,4.9,82.5,8.2,3,2.1,1.3,2.1
258,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2433.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105539/mj-russell,MJ Russell,ULM,G,29,35.6,15.4,5.7,13.6,41.6,1.6,5,31.7,2.5,3.6,69.5,4,2,1.2,1.1,2.1
258,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2523.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5241658/desean-goode,DeSean Goode,RMU,F,29,30.5,15.4,5.8,9.1,63.8,1.1,1.9,59.3,2.7,3.4,78.6,8.6,1.3,0.8,0.5,1.3
260,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/103.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4684268/fred-payne,Fred Payne,BC,G,27,34.4,15.4,5.7,14.1,40.5,2.2,6.7,33.3,1.8,2.3,76.2,3.8,2.7,0.9,0.2,1.4
261,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2026.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4700841/kasen-jennings,Kasen Jennings,APP,G,30,32.3,15.4,5.2,12.8,40.3,1.9,5.7,32.7,3.2,4.1,78.7,4.2,2.1,1.1,0.2,1.5
262,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2097.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4711262/jeremiah-johnson,Jeremiah Johnson,CAM,G,28,32,15.4,4.8,10.5,45.4,1.5,3.9,37.3,4.4,5.1,85.3,3.2,1.8,0.8,0.2,2
263,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/277.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4897365/honor-huff,Honor Huff,WVU,G,27,34.8,15.4,4.2,11.6,36.1,3.3,9.4,35.4,3.7,4.4,83.9,2.2,1.7,0.9,0,1.6
264,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/326.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5313358/dj-hall,DJ Hall,TXST,F,30,29.6,15.4,5.8,10.5,54.9,0.2,0.5,40,3.6,4.6,79,7.4,2.2,1.4,0.4,1.8
265,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/163.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5177174/jackson-hicke,Jackson Hicke,PRIN,G,26,34.2,15.3,5.3,11.2,47.6,1.6,4.2,38.5,3,3.7,83.2,5.3,2.4,0.9,0.3,1.9
266,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2275.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5236222/preston-edmead,Preston Edmead,HOF,G,29,33.4,15.3,4.5,11,40.8,2.6,6.8,38.8,3.8,4.6,82,3.5,4.8,0.5,0,2.3
267,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2011.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105478/asjon-anderson,Asjon Anderson,ALST,G,24,28.1,15.3,4.4,12.7,34.9,2,6.4,30.5,4.5,5.5,83.2,2.4,3.5,0.9,0.1,3.3
268,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2010.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5177572/kintavious-dozier,Kintavious Dozier,AAMU,G,28,32.2,15.3,5,11.4,43.6,1.4,3.8,35.8,4,4.8,84.3,3.9,2.1,1.4,0.1,1.6
269,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2523.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5108062/ryan-prather-jr,Ryan Prather Jr.,RMU,G,29,34,15.3,5.4,12.3,43.9,2.4,6.8,36,2,2.3,85.3,3.7,3.8,0.9,0.1,0.9
269,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2710.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5314440/lucas-lorenzen,Lucas Lorenzen,WIU,G,29,33.1,15.3,4.9,12.1,40.1,2.2,7,32.2,3.3,4.1,80,4.2,0.9,0.8,0.1,1.8
271,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/8.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5041951/meleek-thomas,Meleek Thomas,ARK,G,27,28.9,15.3,5.3,12.3,43.2,2.3,5.7,40.9,2.3,2.7,83.6,3.9,2.6,1.4,0.1,0.9
271,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/46.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5174952/kj-lewis,KJ Lewis,GTWN,G,27,30.6,15.3,5,12.2,40.7,1.2,3.8,31.1,4.1,5.5,75.2,5.2,2.6,2.2,0.6,2.3
273,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/5.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4683680/chance-westry,Chance Westry,UAB,G,28,30.1,15.3,5.2,10.9,48,0.8,2.9,26.2,4.1,5.8,70.4,3.8,4.9,1.4,0.5,1.9
274,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/324.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5107346/rasheed-jones,Rasheed Jones,CCU,G,29,36.2,15.2,4.9,12,41.2,2.3,5.8,39.1,3.1,3.8,81.1,4.7,3,1,0.4,1.5
275,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/88.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4711838/ismail-habib,Ismail Habib,USI,G,26,33,15.2,5,13,38.9,2.3,7,33.5,2.8,4.1,68.2,3.7,2.8,0.6,0,2.5
275,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2197.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5242420/zion-fruster,Zion Fruster,EIU,G,26,31.5,15.2,5.5,13.2,41.6,1.1,3.5,30.8,3.2,3.7,84.5,3.4,2.4,1.4,0.1,1.9
277,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/12.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5082206/brayden-burries,Brayden Burries,ARIZ,G,27,29.2,15.2,5.3,11,48.6,1.6,4.4,37.3,2.9,3.8,77.5,4.6,2.6,1.6,0.2,1.4
278,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2540.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4684628/aidan-mahaney,Aidan Mahaney,UCSB,G,28,33,15.2,5.4,12.1,44.1,2.4,6,39.9,2.1,2.5,83.1,1.9,2.9,0.7,0,1.3
279,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2454.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5243208/kent-jackson,Kent Jackson,UNF,G,29,31.7,15.2,5.1,12.9,39.5,3.4,9.6,36,1.6,1.7,93.8,3.4,2.2,1,0,1.9
280,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2623.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5190926/kobi-williams,Kobi Williams,MOST,G,26,35.5,15.2,4.3,10.8,40.4,2.8,7.5,36.9,3.7,4.4,84.3,2.8,1.5,0.9,0.3,1.5
281,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2837.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5241435/ronnie-harrison,Ronnie Harrison,ETAM,F,27,29.6,15.2,5.7,11.8,48.3,1.2,3.7,32,2.6,4,64.8,6.2,1.9,1.2,0.7,2.3
282,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2653.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5176736/victor-valdes,Victor Valdes,TROY,F,28,29.6,15.1,4.5,11.3,39.7,0.9,3.9,23.9,5.3,7,75.5,4,4.4,1.4,0.4,3.4
283,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/194.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5060708/john-mobley-jr,John Mobley Jr.,OSU,G,24,31,15.1,4.8,11.3,42.2,2.9,7.3,40,2.7,3.1,87.8,2.5,2.8,0.8,0.1,1.7
284,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2815.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5241311/dontrez-williams,Dontrez Williams,LIN,G,25,32,15.1,5.7,12.2,46.7,0.9,3.2,29.1,2.8,4.8,57,4.5,2,2.6,0.7,2.8
285,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/324.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5177247/aj-dancler,AJ Dancler,CCU,G,29,32.8,15.1,5.1,13,39,2.4,6.2,38.3,2.6,3.5,73.5,5.6,2.1,0.8,0.1,1.4
286,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/219.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4684843/tj-power,TJ Power,PENN,F,24,34.4,15.1,5.5,12.6,43.4,2.2,5.6,39.6,2,3.2,61.8,7.2,2.5,0.8,0.6,2
287,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/202.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5241411/miles-barnstable,Miles Barnstable,TLSA,G,28,29.5,15.1,4.6,9.6,48.5,2.8,6.5,42.1,3,3.3,92.4,4.1,1.5,0.8,0.4,0.8
287,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2617.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5314591/lateef-patrick,Lateef Patrick,SFA,G,28,27.9,15.1,5.2,13,39.7,2.1,6.3,33.5,2.6,3.4,77.7,2.9,1.6,1.5,0.1,1.5
289,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2006.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5108060/amani-lyles,Amani Lyles,AKR,F,27,25.2,15,5.5,9.5,57.6,1.4,3.4,40.9,2.7,3.5,76.6,7.3,2.4,1,0.7,2.1
290,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/79.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5242121/quelron-house,Quel'Ron House,SIU,G,27,30.1,15,6,12.9,47,0.4,1.7,23.4,2.5,3.3,76.4,3.2,3.2,1.7,0.1,2.3
290,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2520.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5242911/flash-burton,Flash Burton,RID,G,27,32,15,5.2,13.3,38.9,1.5,5,30.6,3.1,4,78.5,3,2.9,1.2,0.2,2.3
290,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2908.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5313530/mason-bendinger,Mason Bendinger,UPST,G,29,29,15,6,13.2,45.1,0.8,2.3,34.8,2.3,4.3,53.2,3.6,1.1,0.3,0.4,1.7
293,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2272.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5107904/rob-martin,Rob Martin,HPU,G,29,26.2,15,4.7,10.8,43.9,1.3,4,32.8,4.2,5,83.6,1.7,3.5,1.6,0,1.5
294,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/91.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4823976/brian-waddell,Brian Waddell,BELL,F,28,30.8,15,5.8,9.3,62.7,0.8,2,40,2.5,3.2,78.9,4.1,2.2,0.8,0.4,1.6
295,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/127.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4711255/jeremy-fears-jr,Jeremy Fears Jr.,MSU,G,27,31.7,15,4.3,10,43,0.9,3.1,28.6,5.5,6,90.8,2.5,9.2,1.3,0,2.2
296,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/350.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5106731/nolan-hodge,Nolan Hodge,UNCW,G,28,32.6,14.9,4.5,11,40.8,2.8,7.1,39.4,3.1,4.1,77.2,4.6,1.5,0.7,0.6,0.9
297,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/264.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5060705/zoom-diallo,Zoom Diallo,WASH,G,27,28.4,14.9,5.6,11.3,49.3,0.7,2.1,32.8,3.1,3.6,84.7,3.5,4.4,0.6,0,2.6
297,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2509.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105854/braden-smith,Braden Smith,PUR,G,27,33.7,14.9,5.3,11.2,47.5,1.7,4.2,41.2,2.5,3.1,80.7,3.8,8.7,1.9,0.2,2.9
299,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/526.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4575837/jr-konieczny,J.R. Konieczny,FGCU,F,25,30.8,14.9,5.4,12.2,44.1,1.3,4.3,30.8,2.8,3.8,72.6,6.3,2.1,1.6,0.4,1.9
300,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2453.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5239797/donte-bacchus,Donte Bacchus,UNA,F,27,33.2,14.9,5.4,11,49.3,0.6,2,29.6,3.4,5.5,62.8,5.7,1.1,0.9,0.3,1.3
301,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2172.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5176954/jeremiah-burke,Jeremiah Burke,DEN,F,30,32,14.8,5.5,12.1,45.3,2.3,5.8,39.7,1.5,1.9,79.3,5.6,1.5,0.4,0.3,2
302,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/276.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4897504/wyatt-fricks,Wyatt Fricks,MRSH,F,29,28.3,14.8,5.6,10.2,54.2,1.6,4.5,35.1,2.1,3,70.5,5.6,1.4,0.8,1.4,1.2
303,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2244.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5175671/kory-mincy,Kory Mincy,GMU,G,27,34.1,14.8,4.9,10.7,45.5,2.1,5.3,39.6,2.9,3.3,89.8,3.4,3.1,1,0,1.7
303,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/218.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5240369/aiden-tobiason,Aiden Tobiason,TEM,G,27,35.1,14.8,4.8,10.3,46.4,1.5,4.5,32.8,3.8,4.8,79.1,3.5,2.2,1.3,0.2,1.4
305,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/290.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5107226/tyren-moore,Tyren Moore,GASO,G,29,28.7,14.8,4.8,11.3,42.6,2.8,7.7,36.6,2.3,2.8,82.7,2.8,2.4,1.4,0,1.7
305,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/261.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5107295/tj-hurley,TJ Hurley,UVM,G,29,30.5,14.8,4.9,10.4,46.7,2.3,5.9,38.4,2.8,3,92,3.4,1.4,0.7,0.1,0.9
